county,total_vehicles_registered
Alameda,"1,217,269"
Alpine,1821
Amador,"29,750"
Butte,"127,993"
Calaveras,"55,341"
Colusa,"12,915"
Contra Costa,"917,891"
Del Norte,"20,285"
El Dorado,"137,800"
Fresno,"689,723"
Glenn,"16,885"
Humboldt,"115,509"
Imperial,"160,949"
Inyo,"20,806"
Kern,"616,616"
Kings,"95,132"
Lake_CA,"68,357"
Lassen,"15,536"
Los Angeles,"7,391,982"
Madera,"113,016"
Marin,"218,822"
Mariposa,"19,670"
Mendocino,"89,279"
Merced,"197,104"
Modoc,"5,104"
Mono,"11,887"
Monterey,"328,583"
Napa,"124,367"
Nevada,"72,476"
Orange_CA,"2,555,482"
Placer,"292,264"
Plumas,"14,944"
Riverside,"1,761,050"
Sacramento,"965,955"
San Benito,"52,934"
San Bernardino,"1,596,698"
San Diego,"2,597,948"
San Francisco,"454,533"
San Joaquin,559680
San Luis Obispo,239665
San Mateo,716318
Santa Barbara,344180
Santa Clara,1496123
Santa Cruz,237902
Shasta,"109,466"
Sierra,"2,531"
Siskiyou,30060
Solano,300122
Sonoma,438162
Stanislaus,417685
Sutter,"57,442"
Tehama,"34,843"
Trinity_CA,8209
Tulare,326745
Tuolumne,61345
Ventura,711436
Yolo,"122,622"
Yuba,"41,347"
Aitkin,"22,605"
Anoka,"461,591"
Becker,"45,349"
Beltrami,"62,005"
Benton,"53,647"
Big Stone,"7,351"
Blue Earth,"89,311"
Brown_MN,"36,126"
Carlton,"49,370"
Carver,"127,021"
Cass_MN,"39,856"
Chippewa,"17,358"
Chisago,"75,183"
Clay_MN,"82,315"
Clearwater,"12,131"
Cook,"7,222"
Cottonwood,"16,306"
Crow Wing,"87,200"
Dakota,"556,057"
Dodge,"28,025"
Douglas,"50,240"
Faribault,"20,304"
Fillmore,"29,112"
Freeborn,"43,607"
Goodhue,"64,434"
Grant,"8,396"
Hennepin,"1,607,856"
Houston_MN,"26,546"
Hubbard,"28,501"
Isanti,"52,761"
Itasca,"62,865"
Jackson_MN,"14,323"
Kanabec,"22,657"
Kandiyohi,"58,932"
Kittson,"6,351"
Koochiching,"18,571"
Lac qui Parle,"10,128"
Lake_MN,"15,160"
Lake of the Woods,"5,644"
Le Sueur,"38,651"
Lincoln,"8,226"
Lyon,"36,076"
McLeod,"51,135"
Mahnomen,"7,552"
Marshall,"13,169"
Martin_MN,"29,076"
Meeker,"32,508"
Mille Lacs,"36,410"
Morrison,"46,318"
Mower,"54,640"
Murray,"12,173"
Nicollet,"45,660"
Nobles,"29,826"
Norman,"9,560"
Olmsted,"201,254"
Otter Tail,"79,949"
Pennington,"19,435"
Pine,"41,507"
Pipestone,"13,388"
Polk_MN,"44,088"
Pope,"15,340"
Ramsey,"709,651"
Red Lake,"5,705"
Redwood,"22,405"
Renville,"21,946"
Rice,"89,490"
Rock,"13,515"
Roseau,"21,805"
St. Louis,"279,354"
Scott,"181,275"
Sherburne,"123,473"
Sibley,"21,243"
Stearns,"210,175"
Steele,"51,031"
Stevens,"13,570"
Swift,"13,649"
Todd,"34,733"
Traverse,"4,964"
Wabasha,"30,242"
Wadena,"19,314"
Waseca,"26,698"
Washington_MN,"332,246"
Watonwan,"15,642"
Wilkin,"9,175"
Winona,"71,798"
Wright,"173,981"
Yellow Medicine,"14,563"
Anderson,"49,759"
Andrews,"22,537"
Angelina,"82,086"
Aransas,"26,001"
Archer,"11,792"
Armstrong,"2,707"
Atascosa,"50,680"
Austin,"41,920"
Bailey,"6,542"
Bandera,"28,829"
Bastrop,"97,583"
Baylor,"4,228"
Bee,"23,629"
Bell,"311,971"
Bexar,"1,615,123"
Blanco,"19,629"
Borden,"1,067"
Bosque,"23,566"
Bowie,"86,468"
Brazoria,"330,607"
Brazos,"159,123"
Brewster,"10,785"
Briscoe,"1,951"
Brooks,"6,386"
Brown_TX,"42,744"
Burleson,"24,153"
Burnet,"59,377"
Caldwell,"44,036"
Calhoun,"23,294"
Callahan,"16,741"
Cameron,"321,873"
Camp,"17,704"
Carson,"7,420"
Cass_TX,"33,067"
Castro,"7,893"
Chambers,"50,003"
Cherokee,"49,368"
Childress,"6,410"
Clay_TX,"12,918"
Cochran,"2,942"
Coke,"4,635"
Coleman,"10,889"
Collin,"826,681"
Collingsworth,"3,301"
Colorado,"29,782"
Comal,"176,579"
Comanche,"17,080"
Concho,"3,442"
Cooke,"57,564"
Coryell,"60,501"
Cottle,"1,624"
Crane,"5,311"
Crockett,"5,609"
Crosby,"5,656"
Culberson,"2,235"
Dallam,"8,000"
Dallas,"2,123,582"
Dawson,"11,415"
Deaf Smith,"20,790"
Delta,"6,539"
Denton,"702,930"
DeWitt,"25,490"
Dickens,"2,712"
Dimmit,"11,891"
Donley,"3,411"
Duval,"11,749"
Eastland,"24,627"
Ector,"183,874"
Edwards,"2,932"
Ellis,"185,136"
El Paso,"674,628"
Erath,"42,866"
Falls,"17,896"
Fannin,"38,755"
Fayette,"35,789"
Fisher,"4,550"
Floyd,"6,874"
Foard,"1,687"
Fort Bend,"636,694"
Franklin,"12,876"
Freestone,"23,513"
Frio,"15,401"
Gaines,"22,972"
Galveston,"296,144"
Garza,"4,799"
Gillespie,"37,299"
Glasscock,"2,703"
Goliad,"9,696"
Gonzales,"25,298"
Gray,"22,691"
Grayson,"136,155"
Gregg,"130,444"
Grimes,"35,326"
Guadalupe,"159,365"
Hale,"28,261"
Hall,"3,025"
Hamilton,"11,597"
Hansford,"6,503"
Hardeman,"3,891"
Hardin,"59,825"
Harris,"3,551,828"
Harrison,"69,360"
Hartley,"6,783"
Haskell,"5,801"
Hays,"195,461"
Hemphill,"5,634"
Henderson,"92,602"
Hidalgo,"634,068"
Hill,"44,272"
Hockley,"26,540"
Hood,"72,008"
Hopkins,"43,485"
Houston_TX,"23,262"
Howard,"30,813"
Hudspeth,"3,675"
Hunt,"99,571"
Hutchinson,"23,991"
Irion,"3,460"
Jack,"11,081"
Jackson_TX,"17,975"
Jasper,"40,944"
Jeff Davis,"2,733"
Jefferson,"210,517"
Jim Hogg,"4,503"
Jim Wells,"41,693"
Johnson,"180,008"
Jones,"17,283"
Karnes,"20,539"
Kaufman,"130,658"
Kendall,"65,139"
Kenedy,688
Kent,"1,141"
Kerr,"60,149"
Kimble,"6,308"
King,484
Kinney,"3,573"
Kleberg,"25,995"
Knox,"4,226"
Lamar,"52,410"
Lamb,"12,946"
Lampasas,"26,580"
La Salle,"8,014"
Lavaca,"29,637"
Lee,"25,340"
Leon,"23,731"
Liberty,"85,547"
Limestone,"24,804"
Lipscomb,"4,050"
Live Oak,"14,860"
Llano,"28,492"
Loving,235
Lubbock,"246,176"
Lynn,"6,387"
McCulloch,"9,747"
McLennan,"223,373"
McMullen,"2,126"
Madison,"13,876"
Marion,"10,612"
Martin_TX,"6,974"
Mason,"6,574"
Matagorda,"36,969"
Maverick,"48,849"
Medina,"56,857"
Menard,"2,942"
Midland,"231,448"
Milam,"30,027"
Mills,"7,116"
Mitchell,"7,170"
Montague,"26,557"
Montgomery,"561,699"
Moore,"23,530"
Morris,"13,734"
Motley,"1,674"
Nacogdoches,"58,520"
Navarro,"52,170"
Newton,"13,538"
Nolan,"14,511"
Nueces,"283,536"
Ochiltree,"12,061"
Oldham,"3,014"
Orange_TX,"81,558"
Palo Pinto,"33,005"
Panola,"27,106"
Parker,"160,830"
Parmer,"10,112"
Pecos,"16,412"
Polk_TX,"56,866"
Potter,"103,010"
Presidio,"7,919"
Rains,"15,415"
Randall,"137,062"
Reagan,"5,456"
Real,"4,720"
Red River,"14,512"
Reeves,"15,197"
Refugio,"8,302"
Roberts,"1,298"
Robertson,"20,093"
Rockwall,"95,339"
Runnels,"12,867"
Rusk,"52,357"
Sabine,"13,095"
San Augustine,"9,450"
San Jacinto,"28,688"
San Patricio,"67,533"
San Saba,"7,895"
Schleicher,"4,284"
Scurry,"20,163"
Shackelford,"4,704"
Shelby,"28,017"
Sherman,"2,971"
Smith,"221,563"
Somervell,"12,300"
Starr,"55,751"
Stephens,"10,287"
Sterling,"2,489"
Stonewall,"2,047"
Sutton,"5,717"
Swisher,"6,874"
Tarrant,"1,713,567"
Taylor,"129,882"
Terrell,"1,200"
Terry,"11,170"
Throckmorton,"2,048"
Titus,"31,311"
Tom Green,"116,796"
Travis,"993,149"
Trinity_TX,"15,896"
Tyler,"22,066"
Upshur,"43,446"
Upton,"4,771"
Uvalde,"27,573"
Val Verde,"47,317"
Van Zandt,"63,639"
Victoria,"90,696"
Walker,"55,177"
Waller,"54,494"
Ward,"15,657"
Washington_TX,"42,574"
Webb,"206,075"
Wharton,"48,215"
Wheeler,"6,972"
Wichita,"111,159"
Wilbarger,"12,436"
Willacy,"15,802"
Williamson,"484,040"
Wilson,"57,854"
Winkler,"11,084"
Wise,"90,800"
Wood,"52,935"
Yoakum,"11,173"
Young,"22,723"
Zapata,"12,027"
Zavala,"8,769"