household_income_ID,household_income,state,fuel_type,annual_miles_driven
1,"(0,10000)",CA,E10,10394.96
2,"(10000,14999)",CA,E10,10686.66
3,"(15000,24999)",CA,E10,11015.19
4,"(25000,34999)",CA,E10,10441.16
5,"(35000,49999)",CA,E10,10122.84
6,"(50000,74999)",CA,E10,10516
7,"(75000,99999)",CA,E10,10772.16
8,"(100000,124999)",CA,E10,10702.94
9,"(125000,149999)",CA,E10,11795.9
10,"(150000,199999)",CA,E10,10921.22
11,"(200000,)",CA,E10,10919.47
1,"(0,10000)",CA,Electricity,13268.41
2,"(10000,14999)",CA,Electricity,15721.91
3,"(15000,24999)",CA,Electricity,9777.99
4,"(25000,34999)",CA,Electricity,11273.77
5,"(35000,49999)",CA,Electricity,10431.45
6,"(50000,74999)",CA,Electricity,12678.69
7,"(75000,99999)",CA,Electricity,13558.83
8,"(100000,124999)",CA,Electricity,12212.65
9,"(125000,149999)",CA,Electricity,13184.53
10,"(150000,199999)",CA,Electricity,12345.83
11,"(200000,)",CA,Electricity,12828.68
1,"(0,10000)",CA,E85,13268.41
2,"(10000,14999)",CA,E85,15721.91
3,"(15000,24999)",CA,E85,9777.99
4,"(25000,34999)",CA,E85,11273.77
5,"(35000,49999)",CA,E85,10431.45
6,"(50000,74999)",CA,E85,12678.69
7,"(75000,99999)",CA,E85,13558.83
8,"(100000,124999)",CA,E85,12212.65
9,"(125000,149999)",CA,E85,13184.53
10,"(150000,199999)",CA,E85,12345.83
11,"(200000,)",CA,E85,12828.68
1,"(0,10000)",TX,E10,14847.9
2,"(10000,14999)",TX,E10,6641.36
3,"(15000,24999)",TX,E10,7327.44
4,"(25000,34999)",TX,E10,10165.34
5,"(35000,49999)",TX,E10,9855.71
6,"(50000,74999)",TX,E10,14982.13
7,"(75000,99999)",TX,E10,12030.56
8,"(100000,124999)",TX,E10,13181.68
9,"(125000,149999)",TX,E10,15250.84
10,"(150000,199999)",TX,E10,11821.22
11,"(200000,)",TX,E10,11606
1,"(0,10000)",TX,Electricity,2819.34
2,"(10000,14999)",TX,Electricity,2819.34
3,"(15000,24999)",TX,Electricity,2819.34
4,"(25000,34999)",TX,Electricity,19491.96
5,"(35000,49999)",TX,Electricity,14041.295
6,"(50000,74999)",TX,Electricity,8590.63
7,"(75000,99999)",TX,Electricity,8428.28
8,"(100000,124999)",TX,Electricity,16333.69
9,"(125000,149999)",TX,Electricity,14456.49
10,"(150000,199999)",TX,Electricity,11465.31
11,"(200000,)",TX,Electricity,15791
1,"(0,10000)",TX,E85,2819.34
2,"(10000,14999)",TX,E85,2819.34
3,"(15000,24999)",TX,E85,2819.34
4,"(25000,34999)",TX,E85,19491.96
5,"(35000,49999)",TX,E85,14041.295
6,"(50000,74999)",TX,E85,8590.63
7,"(75000,99999)",TX,E85,8428.28
8,"(100000,124999)",TX,E85,16333.69
9,"(125000,149999)",TX,E85,14456.49
10,"(150000,199999)",TX,E85,11465.31
11,"(200000,)",TX,E85,15791
1,"(0,10000)",MN,E10,10794.47
2,"(10000,14999)",MN,E10,10364.33
3,"(15000,24999)",MN,E10,11090.28
4,"(25000,34999)",MN,E10,11328.45
5,"(35000,49999)",MN,E10,11390.58
6,"(50000,74999)",MN,E10,12373.87
7,"(75000,99999)",MN,E10,12254.32
8,"(100000,124999)",MN,E10,12683.17
9,"(125000,149999)",MN,E10,13114.9
10,"(150000,199999)",MN,E10,12427.3
11,"(200000,)",MN,E10,11770.85
1,"(0,10000)",MN,Electricity,16307.71
2,"(10000,14999)",MN,Electricity,12027.46
3,"(15000,24999)",MN,Electricity,15725.74
4,"(25000,34999)",MN,Electricity,11327.52
5,"(35000,49999)",MN,Electricity,15583.95
6,"(50000,74999)",MN,Electricity,14093.22
7,"(75000,99999)",MN,Electricity,13533.11
8,"(100000,124999)",MN,Electricity,14383.02
9,"(125000,149999)",MN,Electricity,13007.2
10,"(150000,199999)",MN,Electricity,13726.26
11,"(200000,)",MN,Electricity,12963.38
1,"(0,10000)",MN,E85,16307.71
2,"(10000,14999)",MN,E85,12027.46
3,"(15000,24999)",MN,E85,15725.74
4,"(25000,34999)",MN,E85,11327.52
5,"(35000,49999)",MN,E85,15583.95
6,"(50000,74999)",MN,E85,14093.22
7,"(75000,99999)",MN,E85,13533.11
8,"(100000,124999)",MN,E85,14383.02
9,"(125000,149999)",MN,E85,13007.2
10,"(150000,199999)",MN,E85,13726.26
11,"(200000,)",MN,E85,12963.38