household_income_ID,household_income,state,annual_miles_driven
1,"Less than $10,000",CA,10432.75
2,"$10,000 to $14,999",CA,10709.9
3,"$15,000 to $24,999",CA,10960.3
4,"$25,000 to $34,999",CA,10481.99
5,"$35,000 to $49,999",CA,10180.84
6,"$50,000 to $74,999",CA,10577.93
7,"$75,000 to $99,999",CA,10896.06
8,"$100,000 to $124,999",CA,10763.31
9,"$125,000 to $149,999",CA,11924.15
10,"$150,000 to $199,999",CA,11042.17
11,"$200,000 or more",CA,11084.23
1,"Less than $10,000",MN,14847.9
2,"$10,000 to $14,999",MN,6641.36
3,"$15,000 to $24,999",MN,7185.47
4,"$25,000 to $34,999",MN,10306.65
5,"$35,000 to $49,999",MN,10068.38
6,"$50,000 to $74,999",MN,14738.56
7,"$75,000 to $99,999",MN,12022.59
8,"$100,000 to $124,999",MN,13134.35
9,"$125,000 to $149,999",MN,15015.78
10,"$150,000 to $199,999",MN,11814.53
11,"$200,000 or more",MN,11637.38
1,"Less than $10,000",TX,10826.39
2,"$10,000 to $14,999",TX,10363.65
3,"$15,000 to $24,999",TX,11176.64
4,"$25,000 to $34,999",TX,11337.21
5,"$35,000 to $49,999",TX,11466.85
6,"$50,000 to $74,999",TX,12396.86
7,"$75,000 to $99,999",TX,12319.48
8,"$100,000 to $124,999",TX,12765.37
9,"$125,000 to $149,999",TX,13199.13
10,"$150,000 to $199,999",TX,12631.65
11,"$200,000 or more",TX,12037.05