county,emissions_per_county
Alameda,14634897593158
Alpine,11386039110
Amador,369111162315
Butte,2131854131142
Calaveras,441662034496
Colusa,207555380159
Contra Costa,10165310363281
Del Norte,277237939509
El Dorado,1754496569438
Fresno,9016289437825
Glenn,272509099436
Humboldt,1304529994076
Imperial,1691219262727
Inyo,179715303255
Kern,8136230981751
Kings,1482433221320
Lake_CA,626619760865
Lassen,338141135937
Los Angeles,95144698324119
Madera,1461918970431
Marin,2445905315398
Mariposa,176856680670
Mendocino,851200903335
Merced,2478697108033
Modoc,93859723247
Mono,137620874411
Monterey,4022004455044
Napa,1322563541977
Nevada,957047460946
Orange_CA,29169888749533
Placer,3376391811919
Plumas,193872752735
Riverside,21218160052586
Sacramento,13748404813706
San Benito,535570208973
San Bernardino,19721685664739
San Diego,29994344573768
San Francisco,7802925278593
San Joaquin,6640783759985
San Luis Obispo,2612848874358
San Mateo,6961966965334
Santa Barbara,4107646849639
Santa Clara,17264549354168
Santa Cruz,2542546139261
Shasta,1717334475834
Sierra,31396397204
Siskiyou,435092047674
Solano,4005405063559
Sonoma,4688896878495
Stanislaus,4985176151494
Sutter,918024840100
Tehama,614972085112
Trinity_CA,133589732054
Tulare,4284823308429
Tuolumne,536500472594
Ventura,7978153997927
Yolo,1946276229027
Yuba,699199703784
Aitkin,272786398752
Anoka,5570284119779
Becker,547256456304
Beltrami,748251643830
Benton,647383645131
Big Stone,88711982164
Blue Earth,1077760507549
Brown_MN,435949773045
Carlton,595779502915
Carver,1532836644560
Cass_MN,480970809353
Chippewa,209463991289
Chisago,907273217476
Clay_MN,993341855324
Clearwater,146394132647
Cook,87146179480
Cottonwood,196769203939
Crow Wing,1052286749907
Dakota,6710255819982
Dodge,338196543126
Douglas,606268697238
Faribault,245022865142
Fillmore,351312245177
Freeborn,526227557893
Goodhue,777564143535
Grant,101322586575
Hennepin,19402904924184
Houston_MN,320349759848
Hubbard,343937819634
Isanti,636692411752
Itasca,758622982037
Jackson_MN,172844412393
Kanabec,273409352508
Kandiyohi,711160640469
Kittson,76640148569
Koochiching,224111822848
Lac qui Parle,122216792281
Lake_MN,182946365192
Lake of the Woods,68103998454
Le Sueur,466423997323
Lincoln,99268522839
Lyon,435343655877
McLeod,617077786733
Mahnomen,91136450836
Marshall,158920554118
Martin_MN,350874493889
Meeker,392292500365
Mille Lacs,439384436997
Morrison,558941048375
Mower,659371295786
Murray,146899230287
Nicollet,551011015427
Nobles,359932578232
Norman,115364300966
Olmsted,2428644145609
Otter Tail,964787002079
Pennington,234533670819
Pine,500888492956
Pipestone,161563898434
Polk_MN,532036180753
Pope,185118285044
Ramsey,8563762119562
Red Lake,68844808326
Redwood,270378766668
Renville,264839529217
Rice,1079932427400
Rock,163096027942
Roseau,263139033829
St. Louis,3371122668590
Scott,2187544205470
Sherburne,1490021201280
Sibley,256353888865
Stearns,2536297289272
Steele,615815042634
Stevens,163752654874
Swift,164712340389
Todd,419146858223
Traverse,59904580099
Wabasha,364949881456
Wadena,233068887663
Waseca,322184947939
Washington_MN,4009397719613
Watonwan,188754988051
Wilkin,110717402678
Winona,866427654991
Wright,2099522523414
Yellow Medicine,175740305528
Anderson,1520408549182
Andrews,384562605772
Angelina,2256788980482
Aransas,602306291388
Archer,235481525271
Armstrong,49442277396
Atascosa,1168070552402
Austin,739085321805
Bailey,186351350626
Bandera,532785403708
Bastrop,1929081092431
Baylor,96907904038
Bee,828658811206
Bell,8068766400755
Bexar,44598780818804
Blanco,273011881022
Borden,16671488591
Bosque,473667941046
Bowie,2407482591861
Brazoria,8144997497571
Brazos,5067794420209
Brewster,240111049404
Briscoe,42576016884
Brooks,187859847253
Brown_TX,991082284291
Burleson,447009164439
Burnet,1111866048745
Caldwell,990041941790
Calhoun,556089075748
Callahan,352259971092
Cameron,10565198276515
Camp,322532184105
Carson,160784933645
Cass_TX,792324849332
Castro,209681031228
Chambers,912796511035
Cherokee,1322405362536
Childress,183126288870
Clay_TX,279644064470
Cochran,81328775074
Coke,86348427645
Coleman,231346163827
Collin,20347564829027
Collingsworth,79508175696
Colorado,542902734538
Comal,2821200796244
Comanche,363443652986
Concho,106296995116
Cooke,999691118493
Coryell,1960733513047
Cottle,39142886628
Crane,113787461129
Crockett,96725844100
Crosby,157585880452
Culberson,62368532980
Dallam,174335394731
Dallas,61591891293753
Dawson,359776445667
Deaf Smith,503837873597
Delta,136050790666
Denton,17233637661353
DeWitt,522694081441
Dickens,63564926857
Dimmit,259981591187
Donley,95633484473
Duval,306432883890
Eastland,483317117750
Ector,3566554181622
Edwards,52069142213
Ellis,3891141042168
El Paso,20823677574952
Erath,985464434782
Falls,464668978406
Fannin,882080398671
Fayette,638614244699
Fisher,103358027549
Floyd,167651194157
Foard,34747439558
Fort Bend,15224762299038
Franklin,275820805776
Freestone,515385675367
Frio,447789421315
Gaines,455826067141
Galveston,7576528346052
Garza,168041322595
Gillespie,645974667899
Glasscock,31886497679
Goliad,187521735940
Gonzales,515151598304
Gray,586102956923
Grayson,3143837014599
Gregg,3166022318449
Grimes,691931797913
Guadalupe,3420984257065
Hale,943408589149
Hall,87206710209
Hamilton,221514927185
Hansford,145986061558
Hardeman,107649440369
Hardin,1420977814577
Harris,106438975859162
Harrison,1706967968308
Hartley,157663906140
Haskell,153424510445
Hays,4086127235558
Hemphill,99014597604
Henderson,2042504433684
Hidalgo,20150732027696
Hill,912614451097
Hockley,596506381941
Hood,1331170248113
Hopkins,914487067600
Houston_TX,617235206288
Howard,910611791781
Hudspeth,90405763402
Hunt,2240091483329
Hutchinson,576089660344
Irion,41587691507
Jack,235221439646
Jackson_TX,366070517803
Jasper,928765768437
Jeff Davis,60912053477
Jefferson,6561258098595
Jim Hogg,137845381482
Jim Wells,1062137677161
Johnson,3925576378976
Jones,525424980508
Karnes,385550931148
Kaufman,2687984938895
Kendall,868946074586
Kenedy,10819562018
Kent,21014918535
Kerr,1290674916233
Kimble,119821447639
King,7438448888
Kinney,93578808032
Kleberg,833860523715
Knox,96725844100
Lamar,1295044354740
Lamb,363521678674
Lampasas,511770485173
La Salle,179094961676
Lavaca,501002940280
Lee,432054240976
Leon,436969859297
Liberty,1967365696496
Limestone,608184226523
Lipscomb,85880273519
Live Oak,299904734692
Llano,501991265657
Loving,2132702129
Lubbock,7251993502632
Lynn,153840647446
McCulloch,215428923550
McLennan,6109567392898
McMullen,18388053718
Madison,355380998598
Marion,274286300586
Martin_TX,124815091647
Mason,104346352925
Matagorda,954566262480
Maverick,1411172586498
Medina,1196549928387
Menard,58311197223
Midland,3559843972486
Milam,643893982895
Mills,128378264716
Mitchell,244558513599
Montague,512862844800
Montgomery,11853298345056
Moore,569691553958
Morris,336394747941
Motley,31470360678
Nacogdoches,1678176489572
Navarro,1241518733025
Newton,375693685944
Nolan,395746287665
Nueces,8848711174316
Ochiltree,265885534885
Oldham,53369570340
Orange_TX,2128462732891
Palo Pinto,731126701667
Panola,618899754291
Parker,3041103192551
Parmer,267081928762
Pecos,403314779366
Polk_TX,1181126850799
Potter,3148934692857
Presidio,203334941967
Rains,283857451602
Randall,3139883713092
Reagan,87570830085
Real,86062333457
Red River,334470114312
Reeves,358476017540
Refugio,192021217260
Roberts,24161954603
Robertson,432314326602
Rockwall,2037432763988
Runnels,273115915272
Rusk,1387036640457
Sabine,281776766599
San Augustine,230565906950
San Jacinto,686209914154
San Patricio,1685458887084
San Saba,159458496956
Schleicher,90015634964
Scurry,440090886803
Shackelford,87856924273
Shelby,661865899613
Sherman,78909978758
Smith,5454359685296
Somervell,220812695996
Starr,1585690041166
Stephens,250462457296
Sterling,29727786987
Stonewall,38752758190
Sutton,107363346181
Swisher,204271250218
Tarrant,47050373932739
Taylor,3420282025876
Terrell,25592425543
Terry,329034324741
Throckmorton,42680051134
Titus,840960861289
Tom Green,2866767797820
Travis,26639686322419
Trinity_TX,379334884700
Tyler,566102372327
Upshur,1022370585032
Upton,87258727334
Uvalde,686756093967
Val Verde,1271272528575
Van Zandt,1367504209987
Victoria,2257361168858
Walker,1764967062780
Waller,1123699944702
Ward,277199259591
Washington_TX,876956711850
Webb,6510047238947
Wharton,1073633461805
Wheeler,140706323362
Wichita,3420125974501
Wilbarger,352025894029
Willacy,575673523343
Williamson,10993273207423
Wilson,1116235487252
Winkler,184920879686
Wise,1537808277523
Wood,1091423318585
Yoakum,204921464282
Young,482458835186
Zapata,364588029738
Zavala,303701984823