,County,State,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,annual_ghg_m2,annual_operatingcost_m2,total_annualcost_m2,annual_fueluse_m2,total_vehicles_m2,vehicle_split_BEV_m2,vehicle_split_FFV_m2,vehicle_split_SIDI_m2
0,Alameda,CA,83.4,16.6,0.0,3212909418.8631663,521548.6653216368,10068677.851795021,236248.01053291067,1647.1461684913884,1373.772051251866,273.37411723952226,0.0
1,Alpine,CA,21.8,0.0,78.2,4856739.650997113,1534.9119637236367,17195.405725337656,569.3021310196498,2.4663701288851083,0.5376468715970593,1.5234269949020225e-16,1.9287232572880493
2,Amador,CA,42.9,0.0,57.1,120203004.4585869,26411.543047816696,334634.31682372343,10003.08064643624,50.03506659288946,21.459898786208143,0.0,28.575167806681307
3,Butte,CA,29.3,6.7,64.0,269448207.8432523,45492.94955464954,536845.9788910724,17455.951857174983,78.2131470047615,22.915930934013826,5.208494290127983,50.08872178061968
4,Calaveras,CA,12.5,0.0,87.5,96432028.25064804,36034.62312208092,385086.22741693235,13265.940263447881,54.255244448104534,6.760530660423603,0.0,47.49471378768093
5,Colusa,CA,19.7,0.0,80.3,35582853.07339422,7089.422792989847,78563.12118123176,2624.8953143697354,11.223300840943713,2.2127292998971955,0.0,9.010571541046518
6,Contra Costa,CA,94.4,5.6,0.0,5558384815.982411,359525.07832393073,7663901.851699241,157131.94876085466,1282.0834849993782,1210.426895103899,71.65658989547964,0.0
7,Del Norte,CA,19.5,0.0,80.5,31868522.903535765,12126.86495961239,140532.13868019113,4480.648129470882,20.156542156834494,3.92751474850776,1.325723166261416e-16,16.229027408326733
8,El Dorado,CA,53.5,6.7,39.8,263581067.9068766,39779.43881401713,529093.7400278592,15813.866523643603,80.68468396254312,43.19212908612594,5.379717521633508,32.11283735478368
9,Fresno,CA,27.3,4.3,68.4,255002186.13958967,68663.41003200576,798010.9251591685,26041.899576551896,115.76435714656165,31.592791932716917,5.011757822393488,79.15980739145124
10,Glenn,CA,8.8,0.6,90.6,51755758.36011651,8362.99692225029,91462.51977438969,3073.3726093974874,12.85059477589279,1.1280777687380086,0.07430821334498272,11.648208793809797
11,Humboldt,CA,22.1,0.0,77.9,113608591.34296173,19077.315416227695,224545.42295137286,7062.399750895953,32.373716608272396,7.160076816423379,0.0,25.213639791849015
12,Imperial,CA,4.3,2.6,93.1,154991101.6680302,25743.926559455136,276500.79526351916,9493.376119300781,38.53586373902427,1.6450097363814564,1.020652788881299,35.87020121376152
13,Inyo,CA,3.4,0.0,96.6,7357325.865477823,1440.6398779515991,14755.49133822335,526.9447529039485,2.0436349258251667,0.06864278614842588,0.0,1.9749921396767411
14,Kern,CA,22.8,2.0,75.3,166581021.37306878,46702.36663782557,527510.8997682711,17469.364304796065,75.82665708794828,17.265660392950444,1.4809948848463266,57.08000181015151
15,Kings,CA,32.2,0.0,67.8,165595792.48895222,39434.96890788962,467816.6141267579,14765.567287069423,68.4688575088886,22.01496883591714,0.0,46.45388867297145
16,Lake CA,CA,23.1,0.0,76.9,175209275.395077,31816.443129289815,376641.61886054836,11786.909772186073,54.40426466655631,12.550669975423093,1.0618465789708261e-16,41.85359469113322
17,Lassen,CA,3.2,0.0,96.8,5511196.837652911,2414.0185775339646,24708.32461314054,882.8889353525424,3.421134215217881,0.10972181704154686,2.4768758544027285e-17,3.3114123981763344
18,Los Angeles,CA,63.0,33.8,3.2,4610236751.469485,732224.6767034248,11625138.150819492,341542.80334282597,1821.6346253367517,1147.0593048002356,615.5938908061443,58.98142973037179
19,Madera,CA,30.8,1.4,67.9,127339662.35998932,30711.348037896765,362244.8259742666,11549.129045435595,52.883645497641865,16.266800931556258,0.7273510588567801,35.88949350722883
20,Marin,CA,80.3,0.0,19.7,1602930794.570887,149275.8453679181,2598794.95912021,59992.896487836,420.56405269206965,337.5614542211698,0.0,83.00259847089981
21,Mariposa,CA,25.5,0.0,74.5,30323168.02133604,8222.908982231007,93975.20734171903,3059.8036327594396,13.576603309184879,3.4647802757562034,0.0,10.111823033428676
22,Mendocino,CA,27.4,0.0,72.6,76689052.38306692,15203.174104758149,175588.63465439633,5667.037708518534,25.462141039824115,6.985594392790437,0.0,18.476546647033675
23,Merced,CA,34.4,0.0,65.6,226888430.42690024,57657.97592936745,692951.6034340549,21636.612932900323,101.86400733447306,35.00973760860623,0.0,66.85426972586683
24,Modoc,CA,5.3,0.0,94.7,3715877.5170568973,870.5734642411372,9335.951753165706,318.68898021068105,1.3027819499358053,0.06892480671402354,0.0,1.2338571432217817
25,Mono,CA,9.7,0.0,90.3,16529882.498486381,2636.9188994884194,27814.444624468102,968.8161392884576,3.8986782145647303,0.37967219878634906,0.0,3.5190060157783813
26,Monterey,CA,42.6,0.0,57.4,312890472.6124377,53015.55662920904,670303.3931344772,20071.558970247777,100.15957471129475,42.63388805994035,0.0,57.52568665135441
27,Napa,CA,63.5,12.6,23.9,427142888.0675395,73727.301760378,1066676.2075038552,30820.468035522917,166.18561605212452,105.53421472495931,20.977677915233535,39.67372341193166
28,Nevada,CA,46.3,0.0,53.7,300463064.278346,38783.97687549855,502603.89737849927,14748.88814874521,75.67145416654485,35.044847834348886,0.0,40.62660633219597
29,Orange CA,CA,95.7,4.3,0.0,13833790451.928234,927206.104977687,19307020.003339373,403312.91299420164,3232.463304864351,3092.31982574554,140.14347911881077,0.0
30,Placer,CA,60.2,7.5,32.2,559243523.6732672,96068.33360696342,1343332.1819547708,38823.03283063577,207.720067177964,125.06562502443126,15.676547200479881,66.97789495305288
31,Plumas,CA,10.5,0.0,89.5,10165284.87769301,3939.6477810988686,41701.8828903391,1448.225333455018,5.853406934391625,0.613287594451014,0.0,5.240119339940612
32,Riverside,CA,35.8,16.8,47.4,853832724.1593677,132412.30808938624,1653376.6693309357,53463.63772604656,244.3703444677568,87.43431189707042,41.020112454346645,115.91592011633975
33,Sacramento,CA,81.7,18.3,0.0,3806355505.2433853,334965.55205858324,6154257.63286767,152445.42960926518,1001.3590505927575,818.1896430185643,183.16940757419317,0.0
34,San Benito,CA,15.6,0.0,84.4,132713624.87488388,25462.85898423717,269628.46814669727,9400.581906949614,38.11738973579797,5.932832844870419,0.0,32.184556890927546
35,San Bernardino,CA,9.9,4.3,85.9,146725945.9046042,53433.01599675883,567438.8687844576,19936.323480682844,79.6082640331241,7.865594937771658,3.3873149530601334,68.35535414229231
36,San Diego,CA,47.7,22.0,30.4,1795370189.439052,313009.25919322594,4090972.869018668,132500.87124372716,617.5841374211661,294.3083180598246,135.64822910500806,187.62759025633343
37,San Francisco,CA,98.3,1.7,0.0,33071889424.61544,2594969.611503423,57502592.25993641,1116838.0944253618,9697.117686087937,9533.016022016936,164.1016640710003,0.0
38,San Joaquin,CA,58.1,19.7,22.2,1447220629.0132694,176534.36731396473,2599666.2167348755,75462.01238821783,402.2648962641287,233.61060200298712,79.36447493822422,89.28981932291735
39,San Luis Obispo,CA,41.0,7.6,51.4,205088355.0341709,38369.30157853395,487161.9191000213,15002.013237869656,72.65730906784673,29.811462371387332,5.534192878301397,37.31165381815801
40,San Mateo,CA,75.2,24.8,0.0,6635576706.927619,549059.2496119605,9926329.59269237,254039.84094842197,1597.469269058536,1200.9097964353894,396.55947262314675,0.0
41,Santa Barbara,CA,33.6,3.4,62.9,435176813.5176786,73559.69744998784,859218.4985110152,28026.528389428484,125.83886533690908,42.31297016363294,4.330868327675374,79.19502684560078
42,Santa Clara,CA,66.2,17.5,16.3,4133808929.540346,499416.580110069,7400478.257499419,214580.08138903964,1159.695372451748,767.670211611503,202.61422370358886,189.4109371366561
43,Santa Cruz,CA,69.6,0.0,30.4,2264055304.7150526,227919.8733068266,3391491.250533504,89930.433317609,534.4070826875127,372.1810768919739,0.0,162.22600579553878
44,Shasta,CA,16.3,0.0,83.7,57311552.51811595,18756.716026531743,204289.42136493014,6925.714056410417,28.994528264804647,4.730279848344626,2.979271876213447e-17,24.264248416460017
45,Sierra,CA,15.6,0.0,84.4,11142596.415915,1725.786465578558,18732.542535044595,636.8865176130439,2.6552275144930726,0.41508941329019505,0.0,2.240138101202878
46,Siskiyou,CA,5.6,0.0,94.4,6768027.267773377,3193.2316191737764,34294.438017122644,1169.1389156893076,4.788235213536019,0.26710875809010265,0.0,4.521126455445917
47,Solano,CA,74.7,25.3,0.0,1355032059.043644,140027.7731468242,2285510.054577647,64863.76275455879,365.2163331366023,272.73569694499037,92.48063619161196,0.0
48,Sonoma,CA,83.2,0.2,16.5,962459720.3158425,101655.86337269624,1713684.1451814228,41354.84010206562,278.0482149495288,231.43883709670152,0.6080769667652168,46.00130088606206
49,Stanislaus,CA,42.7,14.1,43.2,780129566.8328173,143535.74560802017,1865269.1649267771,57919.34116790772,279.4202894381757,119.3231323758535,39.39765805675171,120.69949900557052
50,Sutter,CA,17.3,0.0,82.7,365165276.1707143,61275.29177968493,670620.1324513205,22646.008923656645,95.35366335552197,16.4607054995767,0.04139330688401587,78.85156454906127
51,Tehama,CA,8.0,0.0,92.0,33155859.5780126,7744.649153526668,84215.41853789643,2839.656589853439,11.812351523489264,0.9421697530163142,0.0,10.870181770472948
52,Trinity CA,CA,7.2,0.0,92.8,10174625.163639015,1701.8208737018178,18434.58968676299,623.7099904568806,2.582052258171256,0.18692975459022773,0.0,2.395122503581028
53,Tulare,CA,15.7,2.5,81.8,118400771.93906158,41641.582786007675,475420.43151061883,15468.164955334703,67.73018976144304,10.625647074187198,1.6678446959764437,55.43669799127941
54,Tuolumne,CA,24.5,0.0,75.5,60882166.290540166,16859.879174238726,191585.84329483216,6267.824749063886,27.621883898483667,6.758515528050991,5.064626968360347e-17,20.863368370432674
55,Ventura,CA,49.4,7.0,43.6,1529898456.5953732,197348.57983661516,2552569.8036983768,78042.98713115114,385.99275852583605,190.64742479245936,26.87544577629503,168.46988795708177
56,Yolo,CA,66.3,23.3,10.4,433176217.5405469,48122.88642135669,767146.9208792053,21432.485027432052,120.84688017707889,80.11361018006504,28.177818030943474,12.555451966070391
57,Yuba,CA,15.1,0.0,84.9,110586984.97560295,40712.08693986917,460154.33361979865,14996.405365923913,65.43913876794562,9.891695511039995,0.0,55.54744325690562
58,Aitkin,MN,0.0,0.0,100.0,56660661.16510024,6180.779869822245,87403.26833228758,3531.8742270112525,12.408991125142247,0.0,0.0,12.408991125142247
59,Anoka,MN,60.7,39.3,0.0,4806885534.620931,393264.54693742463,7076750.904233943,225399.4279095057,1091.205881657644,662.7341670409683,428.47171461667574,0.0
60,Becker,MN,0.0,15.2,84.8,165572600.5795303,18227.976973896806,243919.23300053302,10864.683398684461,34.4806086208745,0.0,5.247680320072263,29.232928300802236
61,Beltrami,MN,3.4,0.0,96.6,81854528.65138486,12209.210268509425,173648.76723594178,6926.423998179597,24.753087978155165,0.8384728576333166,0.0,23.914615120521848
62,Benton,MN,4.8,22.9,72.2,565335236.0146068,67231.98299783739,922843.6937455456,40649.84099965467,131.39081070092897,6.35495480050257,30.128547321706293,94.9073085787201
63,Big Stone,MN,0.0,30.1,69.9,65290454.12827491,7607.958566956969,104027.82843241381,4726.733170080677,14.730813471149569,0.0,4.436387774486897,10.294425696662673
64,Blue Earth,MN,17.6,38.5,43.9,520928792.63589746,56227.293526457404,823335.3119099707,34918.50800434316,119.4246393632897,21.054502008440267,45.964329459085064,52.40580789576437
65,Brown MN,MN,11.4,0.0,88.6,261144242.25564155,28484.332258750757,410783.33633343695,15874.147179629841,59.11731545271564,6.715682305388731,0.0,52.401633147326905
66,Carlton,MN,22.9,28.8,48.3,248990060.14760014,26775.225480942805,392841.8620796139,16000.173906784568,57.31493961440987,13.119888876118695,16.50638915880429,27.68866157948689
67,Carver,MN,20.1,79.9,0.0,1423549992.2387638,157861.53418471743,2454343.752204897,111197.72271219926,358.48725322796867,72.17169547731602,286.31555775065266,0.0
68,Cass MN,MN,8.6,0.0,91.4,90697337.4780242,9576.670135965514,137446.66843429423,5370.416043792313,19.715642761812518,1.700828328078269,0.0,18.014814433734248
69,Chippewa,MN,13.9,45.3,40.8,119583605.85212745,14144.222108266424,206788.0582734779,9015.212382253641,29.869803758935294,4.140865945532952,13.535097105255007,12.193840708147343
70,Chisago,MN,41.4,58.6,0.0,633314892.6631024,69968.55484474356,1204214.172423601,44797.03853329541,181.22411789944607,75.01461931919529,106.20949858025078,0.0
71,Clay MN,MN,6.5,28.7,64.9,303572143.15368974,39639.8898567583,551516.074752766,24304.09172481217,78.74275622126605,5.098741589070239,22.562280579242103,51.081734052953706
72,Clearwater,MN,0.0,0.0,100.0,50145856.60800448,6570.882635593729,86058.04853144333,3754.790077482131,12.143872504855146,0.0,0.0,12.143872504855146
73,Cook,MN,14.3,0.0,85.7,21247899.333253916,2534.668985324425,34593.32035142056,1409.9333529347361,4.97288051797281,0.7091731122919388,0.0,4.263707405680872
74,Cottonwood,MN,0.0,62.2,37.8,93996634.87887757,12518.43425564899,179647.32622414306,8510.374720095208,25.533580745682027,0.0,15.870437356132852,9.663143389549177
75,Crow Wing,MN,15.5,12.3,72.2,411088797.36161226,43378.382836467,605319.6282635785,24975.574895280228,87.27898848457853,13.486233040902016,10.749274093054215,63.043481350622315
76,Dakota,MN,77.0,23.0,0.0,4517736139.374706,335045.5273156779,6281611.724609014,170424.12944173272,989.1295840389349,762.059668995745,227.06991504318995,0.0
77,Dodge,MN,8.6,23.6,67.8,263584364.49976778,31510.435648658247,445294.4526903359,18955.312013403873,63.79815856090476,5.492939518662526,15.045498502080696,43.25972054016153
78,Douglas,MN,15.4,19.6,65.0,277127472.14812493,38714.752706731524,546286.290600973,22784.483916522833,78.83257539620274,12.163662639259377,15.452397771849993,51.21651498509337
79,Faribault,MN,0.0,6.2,93.8,144568071.90698352,15275.699532335122,201806.76949118284,8879.653588331394,28.49780203122631,0.0,1.7622923438824605,26.73550968734385
80,Fillmore,MN,19.1,7.7,73.2,116763144.89724836,16656.545918959713,233429.4694067108,9391.81030999652,33.80006954603506,6.445936723557414,2.611117612910716,24.743015209566934
81,Freeborn,MN,34.9,63.2,1.8,230166187.47056586,25438.841401411697,414184.0764997801,16702.756902615944,61.671336681341906,21.54715614910188,38.998099243798855,1.1260812884411677
82,Goodhue,MN,44.0,33.8,22.2,358037743.8764966,35472.49411366764,566787.02707845,20696.732061550818,85.13578731511893,37.45471686146836,28.74022313890158,18.94084731474899
83,Grant,MN,0.0,30.2,69.8,67892784.95329832,7910.094680385289,108164.83143607706,4914.941969497957,15.316695855224753,0.0,4.618363434033859,10.698332421190894
84,Hennepin,MN,91.6,8.4,0.0,11238675339.736376,927703.634994066,18096345.966607116,411706.40779925976,2904.411325328627,2659.9489514822317,244.46237384639565,0.0
85,Houston MN,MN,8.2,0.0,91.8,161764830.5069395,23387.90525633176,335406.11493719864,13128.7484104931,48.0855268830449,3.93267700132957,0.0,44.152849881715326
86,Hubbard,MN,1.0,4.6,94.4,155992140.3192265,16474.2285121668,217783.17508844897,9516.760381343345,30.789423653009965,0.32031948578064656,1.4067421071110273,29.062362060118296
87,Isanti,MN,37.4,48.8,13.8,539627769.0835578,50718.00483714784,811839.3667650312,31584.595932940796,121.06867235436927,45.23826395039858,59.12646342079056,16.70394498318013
88,Itasca,MN,0.0,4.1,95.9,71504364.39778957,12672.54781420253,166916.50629263467,7323.2206016968785,23.565049131806084,0.0,0.9562679319659245,22.608781199840163
89,Jackson MN,MN,0.0,56.0,44.0,73510179.49250479,10092.369079151387,143453.60051893222,6741.911599443514,20.374632636397518,0.0,11.40116489469147,8.973467741706047
90,Kanabec,MN,5.9,22.4,71.7,186168709.4745641,22147.43624253719,304712.6100010353,13351.470112311295,43.43866629855862,2.542396651750622,9.749643778782405,31.146625868025595
91,Kandiyohi,MN,23.7,31.5,44.9,295466494.72567886,34264.854509058285,506260.1454595656,20620.952452669164,73.96223573485948,17.503145767051336,23.27374636821727,33.18534359959086
92,Kittson,MN,0.0,13.2,86.8,24635485.036457818,3064.984228306413,40897.192401920634,1816.737361713281,5.779920750197487,0.0,0.7639171681209752,5.016003582076512
93,Koochiching,MN,0.0,0.0,100.0,28281192.434448965,2979.961051136089,42140.041944930366,1702.834890965732,5.982790336558131,0.0,0.0,5.982790336558131
94,Lac qui Parle,MN,1.9,38.3,59.8,45552409.37176887,6692.987912750105,93171.11020481789,4244.167054237726,13.238852201442832,0.2544124278941362,5.068728440134322,7.915711333414375
95,Lake MN,MN,4.9,2.7,92.3,22021255.520809826,3794.825377425221,50593.305668442306,2166.1352999015785,7.187245791478848,0.3542315336141227,0.19728767283050427,6.63572658503422
96,Lake of the Woods,MN,0.0,0.0,100.0,17957008.75820287,2353.003962649543,30817.00541425984,1344.573681935542,4.348666930175542,0.0,0.0,4.348666930175542
97,Le Sueur,MN,20.9,56.1,23.0,318305943.04305196,38689.58307335768,589978.6567430253,25267.20295926553,86.12844215170693,17.99348471343257,48.353536411444864,19.781421026829488
98,Lincoln,MN,0.0,14.9,85.1,50150784.992091395,8105.292394882601,108416.8100276289,4827.236160869817,15.325370698472495,0.0,2.2880892098286565,13.037281488643838
99,Lyon,MN,15.4,40.3,44.2,189864727.7551609,23939.37071676376,349007.9377630119,14998.54609626357,50.48708336190573,7.786628955761526,20.362468319620913,22.337986086523298
100,McLeod,MN,28.1,65.6,6.3,378191291.04260474,44283.12942167493,705066.6875563359,29558.763853818436,104.04479592895613,29.222436318724807,68.2829648137937,6.539394796437633
101,Mahnomen,MN,0.0,0.0,100.0,44090657.81407404,6742.633514854501,95348.51705928535,3852.933437059715,13.53700988388142,0.0,0.0,13.53700988388142
102,Marshall,MN,0.0,0.7,99.3,30571962.640304483,4009.906775402407,52569.78780531225,2295.916885437628,7.418870839314325,0.0,0.05311583725243202,7.365755002061893
103,Martin MN,MN,15.2,16.3,68.4,189273872.14377263,20171.352725567736,283031.5422118715,11759.773368877806,40.81718600625819,6.219162571050345,6.671828757613915,27.926194677593926
104,Meeker,MN,6.4,31.9,61.6,233823804.05078778,26770.32638470974,374256.1536260766,16570.8419738958,53.45145681034171,3.4342398113710133,17.071799703376318,32.94541729559438
105,Mille Lacs,MN,11.2,42.0,46.8,234661702.57377997,30668.047911097136,442149.1307158708,19425.007391099232,63.619365728364,7.128519858118852,26.746069437892054,29.7447764323531
106,Morrison,MN,1.8,17.7,80.4,202425489.97299707,21514.31785981573,290467.7725316472,12877.836785883801,41.16928657265111,0.7483422158067734,7.303923250451976,33.117021106392365
107,Mower,MN,16.2,49.1,34.7,329271174.09806156,35740.581081328055,529897.4567323981,22970.327794874105,76.81396245619116,12.455249399363726,37.68740624942889,26.671306807398548
108,Murray,MN,0.0,25.8,74.2,78961201.61429937,8982.93902954724,122048.91287381049,5513.571836038496,17.27396828730442,0.0,4.449669079979906,12.824299207324515
109,Nicollet,MN,29.4,19.3,51.3,404704156.5773455,46891.756411457005,692534.4664588601,26851.166793758664,101.80738293042938,29.938592266563205,19.63705066288512,52.23174000098106
110,Nobles,MN,15.4,37.1,47.6,184583386.23924282,19892.116273671312,288450.2703095764,12340.781464566091,41.708501536835094,6.415686205961073,15.457712562892771,19.835102767981247
111,Norman,MN,0.0,0.0,100.0,35675695.95858793,5455.7621601555475,77150.69163337302,3117.5783608638517,10.953391942382408,0.0,0.0,10.953391942382408
112,Olmsted,MN,54.5,45.5,0.0,1409574117.355349,113556.2616610724,2013477.7278299958,67647.94007490636,308.0344547860332,167.9448043847928,140.08965040124036,0.0
113,Otter Tail,MN,0.0,18.2,81.8,128165295.01011121,21331.529693702247,286688.7805085829,12821.671210120543,40.54069129462067,0.0,7.394115720147581,33.14657557447309
114,Pennington,MN,0.0,0.0,100.0,92845033.00517377,17055.666023322574,223375.96704348247,9746.094522925214,31.52115737061485,0.0,0.0,31.52115737061485
115,Pine,MN,22.3,13.4,64.3,123400269.54082403,14147.09354356195,202105.64597329107,8063.949765072923,29.410701989457866,6.567176814954273,3.929012271760072,18.914512902743517
116,Pipestone,MN,23.9,40.4,35.7,115431181.25813076,13113.341862790423,196787.37353646342,8116.350947737364,28.787992818053777,6.868414488608875,11.641514659556396,10.278063669888507
117,Polk MN,MN,2.0,0.0,98.0,102201753.26006226,11076.353118620404,157166.5238381272,6302.396866159884,22.366888568373035,0.4494915246498452,0.0,21.91739704372319
118,Pope,MN,0.0,33.3,66.7,76512759.57313056,11768.76058371272,161691.09355350723,7377.2589997805,22.905334077731798,0.005040519147754336,7.631541122839184,15.268752435744858
119,Ramsey,MN,100.0,0.0,0.0,23941401466.375835,1496523.7300607043,28784421.727590457,602385.2061598295,4662.2539615799005,4662.2539615799005,0.0,0.0
120,Red Lake,MN,0.0,24.9,75.1,42744469.67787293,6870.722906890962,93228.75647249004,4206.58109142544,13.193588447920593,0.0,3.2800130432671075,9.913575404653487
121,Redwood,MN,15.0,53.1,31.8,99539701.92539713,11848.200033691035,176117.43374475854,7721.761950073528,25.501609088384335,3.827206648971285,13.553303542566802,8.121098896846245
122,Renville,MN,16.6,53.9,29.5,84579301.58122954,10280.61727164144,153854.57001992053,6702.024761269135,22.327669685605745,3.7122626171780415,12.030477990774296,6.584929077653407
123,Rice,MN,19.2,49.5,31.3,674467410.689068,82757.60141541788,1240490.1106350012,53058.54112700833,180.53840753383204,34.61803084223013,89.41530289458606,56.50507379701584
124,Rock,MN,15.2,33.2,51.6,125174051.46593983,13459.84408908603,193865.4631001855,8254.434838482346,28.01297530339617,4.262786373858702,9.288570954804076,14.461617974733395
125,Roseau,MN,0.0,0.0,100.0,53864305.01997485,7058.131062298322,92439.48021119859,4033.217775523121,13.044373002664509,0.0,0.0,13.044373002664509
